"","s1","s2","s3","s4","s5","s6","s7","s8"
"167",1,1,1,0,1,1,0,0
"168",1,1,1,0,1,0,1,0
"169",1,1,1,0,1,0,0,1
"170",1,1,1,0,0,1,1,0
"171",1,1,1,0,0,1,0,1
"172",1,1,1,0,0,0,1,1
"173",1,1,0,1,1,1,0,0
"174",1,1,0,1,1,0,1,0
"175",1,1,0,1,1,0,0,1
"176",1,1,0,1,0,1,1,0
"177",1,1,0,1,0,1,0,1
"178",1,1,0,1,0,0,1,1
"179",1,1,0,0,1,1,1,0
"180",1,1,0,0,1,1,0,1
"181",1,1,0,0,1,0,1,1
"182",1,1,0,0,0,1,1,1
"183",1,0,1,1,1,1,0,0
"184",1,0,1,1,1,0,1,0
"185",1,0,1,1,1,0,0,1
"186",1,0,1,1,0,1,1,0
"187",1,0,1,1,0,1,0,1
"188",1,0,1,1,0,0,1,1
"189",1,0,1,0,1,1,1,0
"190",1,0,1,0,1,1,0,1
"191",1,0,1,0,1,0,1,1
"192",1,0,1,0,0,1,1,1
"193",1,0,0,1,1,1,1,0
"194",1,0,0,1,1,1,0,1
"195",1,0,0,1,1,0,1,1
"196",1,0,0,1,0,1,1,1
"197",1,0,0,0,1,1,1,1
"198",0,1,1,1,1,1,0,0
"199",0,1,1,1,1,0,1,0
"200",0,1,1,1,1,0,0,1
"201",0,1,1,1,0,1,1,0
"202",0,1,1,1,0,1,0,1
"203",0,1,1,1,0,0,1,1
"204",0,1,1,0,1,1,1,0
"205",0,1,1,0,1,1,0,1
"206",0,1,1,0,1,0,1,1
"207",0,1,1,0,0,1,1,1
"208",0,1,0,1,1,1,1,0
"209",0,1,0,1,1,1,0,1
"210",0,1,0,1,1,0,1,1
"211",0,1,0,1,0,1,1,1
"212",0,1,0,0,1,1,1,1
"213",0,0,1,1,1,1,1,0
"214",0,0,1,1,1,1,0,1
"215",0,0,1,1,1,0,1,1
"216",0,0,1,1,0,1,1,1
"217",0,0,1,0,1,1,1,1
"218",0,0,0,1,1,1,1,1
"219",1,1,1,1,1,1,0,0
"220",1,1,1,1,1,0,1,0
"221",1,1,1,1,1,0,0,1
"222",1,1,1,1,0,1,1,0
"223",1,1,1,1,0,1,0,1
"224",1,1,1,1,0,0,1,1
"225",1,1,1,0,1,1,1,0
"226",1,1,1,0,1,1,0,1
"227",1,1,1,0,1,0,1,1
"228",1,1,1,0,0,1,1,1
"229",1,1,0,1,1,1,1,0
"230",1,1,0,1,1,1,0,1
"231",1,1,0,1,1,0,1,1
"232",1,1,0,1,0,1,1,1
"233",1,1,0,0,1,1,1,1
"234",1,0,1,1,1,1,1,0
"235",1,0,1,1,1,1,0,1
"236",1,0,1,1,1,0,1,1
"237",1,0,1,1,0,1,1,1
"238",1,0,1,0,1,1,1,1
"239",1,0,0,1,1,1,1,1
"240",0,1,1,1,1,1,1,0
"241",0,1,1,1,1,1,0,1
"242",0,1,1,1,1,0,1,1
"243",0,1,1,1,0,1,1,1
"244",0,1,1,0,1,1,1,1
"245",0,1,0,1,1,1,1,1
"246",0,0,1,1,1,1,1,1
"247",1,1,1,1,1,1,1,0
"248",1,1,1,1,1,1,0,1
"249",1,1,1,1,1,0,1,1
"250",1,1,1,1,0,1,1,1
"251",1,1,1,0,1,1,1,1
"252",1,1,0,1,1,1,1,1
"253",1,0,1,1,1,1,1,1
"254",0,1,1,1,1,1,1,1
"255",1,1,1,1,1,1,1,1
